"Duration","Laufzeit"
"Days","Tage"
"Day","Tag"
"No","Nein"
"Yes","Ja"
"-- Please select --","-- Bitte wählen --"
"-- Please Select --","-- Bitte wählen --"
"-- None --","-- Keine Auswahl --"
"Header","Header Template"
"Header Template","Header Template"
"Footer Template","Footer Template"
"Footer","Footer Template"
"Main template", "Main Template"
"Main Template", "Main Template"
"A transaction for auction %s was successfully generated","Eine Transaktion für die Auktion %s wurde erfolgreich generiert"
"A transaction (%s) for auction %s was successfully generated","Eine Transaktion (%s) für die Auktion %s wurde erfolgreich generiert"
"A transaction (%s) for auction %s was successfully updated","Eine Transaktion (%s) für die Auktion %s wurde erfolgreich aktualisiert"
"Orders were created successfully","Bestellungen wurden erfolgreich erstellt"
"Error saving quote","Quote konnte nicht gespeichert werden"
"Error creating order","Die Bestellung konnte nicht erstellt werden"
"Auction item %s is out of stock. The requested amount was %d","Auktionselement %s ist nicht auf Lager. Die geforderte Anzahl war %d"
"Payment Method: %s","Zahlungsart: %s"
"Auction","Auktion"
"Item successfully deleted", "Eintrag erfolgreich gelöscht"
"Items were updated successfully","Einträge erfolgreich aktualisiert"
"Please select at least one item","Bitte wählen Sie mindestens einen Eintrag"
"Items were deleted successfully","Einträge erfolgreich gelöscht"
"Item was successfully saved","Eintrag erfolgreich gespeichert"
"Item successfully deleted","Eintrag erfolgreich gelöscht"
"Please select at least one simple product","Bitte wählen Sie mindestens ein Simple Product aus"
"Default Values","Standardwerte"
"Default Store","Standardstore"
"%d Shipping Methods were successfully imported","%d Versandarten wurden erfolgreich importiert"
"%d Payment Methods were successfully imported","%d Zahlungsarten wurden erfolgreich importiert"
"%d Categories were successfully imported","%d Kategorien wurden erfolgreich importiert"
"%d Store Categories were successfully imported","%d Store Kategorien wurden erfolgreich importiert"
"Policies were successfully imported","Versicherungen und Rückgaberechte wurden erfolgreich importiert"
"Mappings were saved","Mappings erfolgreich gespeichert"
"Item was edited successfully","Eintrag erfolgreich bearbeitet"
"Auctions were exported successfully","Auktionen wurden erfolgreich exportiert"
"Auction %s was exported successfully","Auktion %s wurde erfolgreich exportiert"
"Policies","Rückgaberecht"
"Refund Option","Rückgabe Option"
"Returns Accepted", "Rückgaberecht"
"Returns Within","Rückgabe innerhalb von"
"Description","Beschreibung"
"Payment Methods","Zahlungsarten"
"Auction","Auktion"
"General Informations","Generelle Informationen"
"Shipping Methods","Versandarten"
"Categories","Kategorien"
"Layout","Layout"
"Are you sure?","Sind sie sicher?"
"Update","Aktualisieren"
"Export to Ebay","Zu eBay exportieren"
"Delete","Löschen"
"eBay Auction ID","eBay Auktion ID"
"Auction title","Auktionstitel"
"Quantity","Anzahl"
"Sold","Verkauft"
"Price","Preis"
"eBay Start Time","eBay Startzeit"
"eBay End Time","eBay Endzeit"
"Start time","Startzeit"
"End time","Endzeit"
"Created","Erstellt am"
"Link","Link"
"eBay URL","eBay URL"
"Auction '%s'","Auktion '%s'"
"Add New","Hinzufügen"
"Auction List","Auktionsliste"
"Update all auctions","Alle Auktionen aktuallisieren"
"Gallery Listing Image","Galeriebild"
"Hit Counter","Hit Counter"
"Listing Enhancement","Layoutoptionen"
"Add Payment Method","Zahlungsart hinzufügen"
"Add Shipping Method","Versandart hinzufügen"
"Product ID","Produkt Id"
"Product SKU","Produkt SKU"
"eBay Status","eBay Status"
"Last update","Zuletzt aktualisiert"
"Start price","Startpreis"
"Fixed price","Festpreis"
"Current price","Aktueller Preis"
"Country","Land"
"Location","Ort"
"Currency","Währung"
"Use Tax Table","Steuertabelle nutzen"
"VAT Percent","Steuer in Prozent"
"Dispatch time","Versandvorbereitung"
"Dispatch Time","Versandvorbereitung"
"With image","Mit Auktionsbild"
"With Image","Mit Auktionsbild"
"Auction type","Auktionstyp"
"Auction Type","Auktionstyp"
"Mappings","Mappings"
"Mapping Shipping Services","Mapping Versandarten"
"Mapping Payment Services","Mapping Zahlungsarten"
"Import Payment Methods","Zahlungsarten importieren"
"Import","Import"
"Import Return Policies","Import Widerrufsrecht / Rückgaberecht"
"Import Shipping Methods",Import Versandarten"
"Configuration","Konfiguration"
"Categories","Kategorien"
"Return Policies","Widerrufsrecht / Rückgaberecht"
"Prepare for Ebay","eBay Auktionen vorbereiten"
"General Configuration","Haupteinstellungen"
"Import Categories","Import Kategorien"
"Add mapping","Mapping hinzufügen"
"Shipping Service","Versandart"
"Shipping Service Id","Versandservice Id"
"Carrier","Versanddienstleister"
"International","International"
"ID","Id"
"Level","Ebene"
"Name","Name"
"Parent ID","Übergeordnete Kategorie"
"Auctiondetails","Auktionsdetails"
"Absolute price (199), percetage (+10% / -10%), or absolute reduction (+5,-5)","Absolutpreis (199), Prozent (+10% / -10%) oder absolute Reduktion (+5,-5)"
"Auction Details","Auktionsdetails"
"Selected Products","Gewählte Produkte"
"Profile","Profil"
"Select a Profile","Profil auswählen"
"Prepare","Vorbereiten"
"Magebid Export (Profile: %s)","Magebid Export (Profil: %s)"
"Continue","Fortfahren"
"Payment Details","Zahlungsdetails"
"Galery Listing Image","Galeriebild"
"Hit Counter Style","Hit Counter Style"
"Content","Inhalt"
"Title","Titel"
"Type","Typ"
"Template","Template"
"Date Created","Erstellungsdatum"
"Last Modified","Zuletzt geändert"
"Action","Aktion"
"Edit","Bearbeiten"
"Delete","Löschen"
"Shipping Method","Versandart"
"Shipping Cost","Versandkosten"
"Shipping","Versand"
"Add shipping cost","Versandkosten hinzufügen"
"Transaction","Transaktion"
"Ebay Item Id","eBay Item Id"
"Ebay Transaction Id","eBay Transaktions Id"
"Checkout Status","Checkout Status"
"Complete Status","Complete Status"
"Total","Total"
"Single Price","Einzelpreis"
"Quantity Sold","Verkaufte Anzahl"
"Created at","Erstellt am"
"Last updated","Zuletzt aktualisiert"
"Buyer Informations","Käuferinformationen"
"Shipping Adress","Versandadresse"
"Auction ID","Auktions Id"
"Transaction ID","Transaktions Id"
"Complete","Complete"
"Total Amount","Gesamtbetrag"
"Buyer eMail","Käufer eMail-Adresse"
"Sold at","Verkauft am"
"eBay Transaction '%s'","eBay Transaktion '%s'"
"Transaction list","Transaktionsliste"
"Update all transactions","Alle Transaktionen aktualisieren"
"Payment Status","Zahlungsstatus"
"Payment Hold Status","Payment Hold Status"
"Payment Method","Zahlungsart"
"Buyer","Käufer"
"eBay User Id","eBay Benutzer Id"
"Street","Straße"
"Street Add","Street (erweitert)"
"Zip Code","Postleitzahl"
"City","Stadt"
"Add Template","Template hinzufügen"
"Magebid Templates","Magebid Templates"
"Edit Element '%s'","Element bearbeiten '%s'"
"Item Details","Element Details"
"Profile Details","Profileinstellungen"
"Shipping Details","Versandeinstellungen"
"Profile List","Profilliste"
"Add new profile","Profil hinzufügen"
"Profiles","Profile"
"Transactions","Transaktionen"
"Auctions","Auktionen"
"Templates","Templates"
"Templates.","Templates"
"Edit Profile: %s","Profil bearbeiten: %s"
"Main Template","Haupttemplate"
"Ebay Category 1","eBay Kategorie 1"
"Ebay Category 2","eBay Kategorie 2"
"Please select only one category and a category which has no child categories anymore","Bitte wählen Sie je nur eine Kategorie und stets eine Kategorie die keine Unterkategorien mehr enthält."
"Additional Shipping Price","Zusätzliche Versandkosten"
"New Export","Neuer Export"
"End Items","Vorzeitig beenden"
"Auction %s was terminated successfully","Auktion %s wurde erfolgreich beendet"
"Preview","Vorschau"
"Actions","Aktionen"
"Order (%s) for Auction %s was created successfully","eBay Bestellung %s für Auktion %s wurde erfolgreich erstellt"
"Auctions were updated successfully","Auktionen wurden erfolreich aktualisiert"
"Add comments to orders","Kommentare zu Bestellungen hinzufügen"
"If status was changed","Falls Status geändert"
"Order Reviews","Bewertungen"
"Order Status","Bestellstatus"
"Add review automatic","Bewertungen automatisch abgeben"
"Review Text","Bewertungstext"
"eBay order %s successful marked as: %s","eBay Bestellung %s erfolgreich markiert als: %s"
"Payment received","Zahlung erhalten"
"Shipped","Versendet"
"Reviewed","Kommentiert"
"Your categorie tree is already up to date","Ihr Kategoriebaum ist bereits auf dem neuesten Stand"
"Store Categories","Store Kategorien"
"Import Store Categories","Store Kategorien importieren"
"eBay Store Category 1","eBay Store Kategorie 1"
"eBay Store Category 2","eBay Store Kategorie 2"
"Magebid Connection Settings","Magebid Verbindungseinstellungen"
"Please select a category to choose this value","Bitte wählen Sie eine Kategorie, um diesen Wert festzulegen"
"Category Features were successfully imported","Die kategorieabhängigen Parameter wurden erfolgreich importiert"
"Category Features","Kategorieabhängige Parameter"
"Item was saved successfully","Der Eintrag wurde erfolgreich gespeichert"
